,,,Complex Multiple Choice ,Open Response ,Simple Multiple Choice 
RC1,R11H,R21H,8,9,22
RC1,R11H,R21L,5,11,21
RC1,R11L,R22H,2,11,22
RC1,R11L,R22L,4,10,23
RC1,R15H,R21H,5,14,20
RC1,R15H,R21L,2,16,19
RC1,R15L,R22H,5,13,19
RC1,R15L,R22L,7,12,20
RC2,R12H,R23H,7,9,20
RC2,R12H,R23L,6,8,20
RC2,R12L,R24H,5,9,21
RC2,R12L,R24L,4,14,18
RC2,R16H,R23H,6,12,20
RC2,R16H,R23L,5,11,20
RC2,R16L,R24H,4,9,23
RC2,R16L,R24L,3,14,20
RC3,R13H,R25H,5,9,21
RC3,R13H,R25L,,12,20
RC3,R13L,R26H,3,11,20
RC3,R13L,R26L,5,7,23
RC3,R17H,R25H,8,9,19
RC3,R17H,R25L,6,12,18
RC3,R17L,R26H,4,11,20
RC3,R17L,R26L,6,7,23
RC4,R14H,R27H,6,11,22
RC4,R14H,R27L,5,14,19
RC4,R14L,R28H,5,17,17
RC4,R14L,R28L,5,14,19
RC4,R18H,R27H,3,13,20
RC4,R18H,R27L,2,16,17
RC4,R18L,R28H,4,15,18
RC4,R18L,R28L,4,12,20
RC5,R11H,R21H,8,8,21
RC5,R11H,R21L,5,10,20
RC5,R11L,R22H,2,10,21
RC5,R11L,R22L,4,9,22
RC5,R15H,R21H,5,13,19
RC5,R15H,R21L,,15,18
RC5,R15L,R22H,5,12,18
RC5,R15L,R22L,7,11,19
RC6,R12H,R23H,5,9,23
RC6,R12H,R23L,4,8,23
RC6,R12L,R24H,3,9,24
RC6,R12L,R24L,2,14,21
RC6,R16H,R23H,4,12,23
RC6,R16H,R23L,3,11,23
RC6,R16L,R24H,2,9,26
RC6,R16L,R24L,,14,23
RC7,R13H,R25H,5,10,22
RC7,R13H,R25L,3,13,21
RC7,R13L,R26H,3,12,21
RC7,R13L,R26L,5,8,24
RC7,R17H,R25H,8,10,20
RC7,R17H,R25L,6,13,19
RC7,R17L,R26H,4,12,21
RC7,R17L,R26L,6,8,24
RC8,R14H,R27H,7,11,21
RC8,R14H,R27L,6,14,18
RC8,R14L,R28H,6,17,16
RC8,R14L,R28L,6,14,18
RC8,R18H,R27H,4,13,19
RC8,R18H,R27L,3,16,16
RC8,R18L,R28H,5,15,17
RC8,R18L,R28L,5,12,19
