,,,Educational,Multiple ,Occupational,Personal,Public
RC1,R11H,R21H,18,4,,2,15
RC1,R11H,R21L,15,3,1,8,10
RC1,R11L,R22H,10,3,1,11,10
RC1,R11L,R22L,10,,7,3,17
RC1,R15H,R21H,17,4,3,2,13
RC1,R15H,R21L,14,3,4,8,8
RC1,R15L,R22H,9,3,3,11,11
RC1,R15L,R22L,9,,9,3,18
RC2,R12H,R23H,6,2,,3,25
RC2,R12H,R23L,10,,,8,16
RC2,R12L,R24H,14,,,5,16
RC2,R12L,R24L,10,,3,23,
RC2,R16H,R23H,9,2,3,4,20
RC2,R16H,R23L,13,,3,9,11
RC2,R16L,R24H,15,,2,12,7
RC2,R16L,R24L,11,,5,7,14
RC3,R13H,R25H,9,2,,10,14
RC3,R13H,R25L,9,,4,11,11
RC3,R13L,R26H,3,,,6,25
RC3,R13L,R26L,3,,7,7,18
RC3,R17H,R25H,7,2,,7,20
RC3,R17H,R25L,7,,4,8,17
RC3,R17L,R26H,3,,6,13,13
RC3,R17L,R26L,3,,13,14,6
RC4,R14H,R27H,16,,,9,14
RC4,R14H,R27L,16,,,15,7
RC4,R14L,R28H,10,,6,6,17
RC4,R14L,R28L,13,,5,10,10
RC4,R18H,R27H,10,,,3,23
RC4,R18H,R27L,10,,,9,16
RC4,R18L,R28H,10,,8,6,13
RC4,R18L,R28L,13,,7,10,6
RC5,R11H,R21H,21,4,,2,10
RC5,R11H,R21L,18,3,1,8,5
RC5,R11L,R22H,13,3,1,11,5
RC5,R11L,R22L,13,,7,3,12
RC5,R15H,R21H,20,4,3,2,8
RC5,R15H,R21L,17,3,4,8,3
RC5,R15L,R22H,12,3,3,11,6
RC5,R15L,R22L,12,,9,3,13
RC6,R12H,R23H,8,2,,3,24
RC6,R12H,R23L,12,,,8,15
RC6,R12L,R24H,16,,,5,15
RC6,R12L,R24L,12,,3,,22
RC6,R16H,R23H,11,2,3,4,19
RC6,R16H,R23L,15,,3,9,10
RC6,R16L,R24H,17,,2,12,6
RC6,R16L,R24L,13,,5,7,13
RC7,R13H,R25H,6,2,,10,19
RC7,R13H,R25L,6,,4,11,16
RC7,R13L,R26H,,,,6,30
RC7,R13L,R26L,,,7,7,23
RC7,R17H,R25H,4,2,,7,25
RC7,R17H,R25L,4,,4,8,22
RC7,R17L,R26H,,,6,13,18
RC7,R17L,R26L,,,13,14,11
RC8,R14H,R27H,11,,,9,19
RC8,R14H,R27L,11,,,15,12
RC8,R14L,R28H,5,,6,6,22
RC8,R14L,R28L,8,,5,10,15
RC8,R18H,R27H,5,,,3,28
RC8,R18H,R27L,5,,,9,21
RC8,R18L,R28H,5,,8,6,18
RC8,R18L,R28L,8,,7,10,11
