,,,Argumentative,Description,Exposition,Instruction,Multiple,Narrative,Transactional
RC1,R11H,R21H,8,,17,1,9,2,2
RC1,R11H,R21L,5,,12,2,8,7,3
RC1,R11L,R22H,5,,8,1,5,10,6
RC1,R11L,R22L,5,,18,3,3,3,5
RC1,R15H,R21H,11,6,11,3,6,2,
RC1,R15H,R21L,8,6,6,4,5,7,1
RC1,R15L,R22H,5,2,7,1,5,7,10
RC1,R15L,R22L,5,2,17,3,3,,9
RC2,R12H,R23H,17,1,9,,3,6,
RC2,R12H,R23L,18,,7,,1,8,
RC2,R12L,R24H,13,,6,,3,13,
RC2,R12L,R24L,9,6,11,,2,8,
RC2,R16H,R23H,14,1,17,,3,3,
RC2,R16H,R23L,15,,15,,1,5,
RC2,R16L,R24H,12,4,7,,1,8,4
RC2,R16L,R24L,8,10,12,,,3,4
RC3,R13H,R25H,7,11,9,,5,3,
RC3,R13H,R25L,3,17,12,,,3,
RC3,R13L,R26H,6,3,15,,,5,5
RC3,R13L,R26L,3,1,10,3,2,7,9
RC3,R17H,R25H,13,1,9,,5,8,
RC3,R17H,R25L,9,7,12,,,8,
RC3,R17L,R26H,6,7,11,4,,,7
RC3,R17L,R26L,3,5,6,7,2,2,11
RC4,R14H,R27H,4,5,9,1,9,9,2
RC4,R14H,R27L,10,4,11,1,5,5,2
RC4,R14L,R28H,7,6,12,,2,6,6
RC4,R14L,R28L,,8,12,,3,5,10
RC4,R18H,R27H,4,1,15,3,6,7,
RC4,R18H,R27L,10,,17,3,2,3,
RC4,R18L,R28H,8,4,8,4,4,9,
RC4,R18L,R28L,1,6,8,4,5,8,4
RC5,R11H,R21H,6,,19,1,7,2,2
RC5,R11H,R21L,3,,14,2,6,7,3
RC5,R11L,R22H,3,,10,1,3,10,6
RC5,R11L,R22L,3,,20,3,1,3,5
RC5,R15H,R21H,9,6,13,3,4,2,
RC5,R15H,R21L,6,6,8,4,3,7,1
RC5,R15L,R22H,3,2,9,1,3,7,10
RC5,R15L,R22L,3,2,19,3,1,,9
RC6,R12H,R23H,9,2,15,,5,6,
RC6,R12H,R23L,10,1,13,,3,8,
RC6,R12L,R24H,5,1,12,,5,13,
RC6,R12L,R24L,1,7,17,,4,8,
RC6,R16H,R23H,6,2,23,,5,3,
RC6,R16H,R23L,7,1,21,,3,5,
RC6,R16L,R24H,4,5,13,,3,8,4
RC6,R16L,R24L,,11,18,,2,3,4
RC7,R13H,R25H,9,11,9,,5,3,
RC7,R13H,R25L,5,17,12,,,3,
RC7,R13L,R26H,8,3,15,,5,5,
RC7,R13L,R26L,5,1,10,3,2,7,9
RC7,R17H,R25H,15,1,9,,5,8,
RC7,R17H,R25L,11,7,12,,,8,
RC7,R17L,R26H,8,7,11,4,,,7
RC7,R17L,R26L,5,5,6,7,2,2,11
RC8,R14H,R27H,9,5,6,1,7,9,2
RC8,R14H,R27L,15,4,8,1,3,5,2
RC8,R14L,R28H,12,6,9,,,6,6
RC8,R14L,R28L,5,8,9,,1,5,10
RC8,R18H,R27H,9,1,12,3,4,7,
RC8,R18H,R27L,15,,14,3,,3,
RC8,R18L,R28H,13,4,5,4,2,9,
RC8,R18L,R28L,6,6,5,4,3,8,4
